Symbol,Sector,holidays
BROOKS-EQ,Pharmaceuticals,
BSELINFRA-EQ,NO DATA,
BSHSL-EQ,Food & Tobacco,
BURGERKING-EQ,NO DATA,
BUTTERFLY-EQ,Household Goods,
CADILAHC-EQ,Metals & Mining,
CALSOFT-EQ,Software & IT Services,
CAMLINFINE-EQ,Chemicals,
CANTABIL-EQ,Textiles & Apparel,
CAPACITE-EQ,Construction & Engineering,
CAPTRUST-EQ,Banking Services,
CAREERP-EQ,NO DATA,
CARERATING-EQ,Professional & Commercial Services,
CENTENKA-EQ,Textiles & Apparel,
CENTRUM-EQ,Banking Services,
CENTUM-EQ,"Machinery, Equipment & Components",
CENTURYTEX-EQ,NO DATA,
CEREBRAINT-EQ,"Computers, Phones & Household Electronics",
CESCVENT-EQ,NO DATA,
CHEMBOND-EQ,Chemicals,
CHEMCON-EQ,Chemicals,
CHEMFAB-EQ,Chemicals,
CIGNITITEC-EQ,Software & IT Services,
CINELINE-EQ,Hotels & Entertainment Services,
CINEVISTA-EQ,Media & Publishing,
CLEDUCATE-EQ,Personal & Household Products & Services,
CLNINDIA-EQ,NO DATA,
COMPINFO-EQ,Integrated Hardware & Software,
CONFIPET-EQ,Oil & Gas,
CONSOFINVT-EQ,Banking Services,
CONTROLPR-EQ,"Machinery, Equipment & Components",
CORALFINAC-EQ,Construction & Engineering,
CORDSCABLE-EQ,"Machinery, Equipment & Components",
COSMOFILMS-EQ,NO DATA,
CREATIVE-EQ,NO DATA,
CREATIVEYE-EQ,Media & Publishing,
CREST-EQ,Investment Banking & Investment Services,
CSBBANK-EQ,Banking Services,
CTE-EQ,Software & IT Services,
CUPID-EQ,Personal & Household Products & Services,
CYBERTECH-EQ,Software & IT Services,
DAAWAT-EQ,NO DATA,
DALMIASUG-EQ,Food & Tobacco,
DAMODARIND-EQ,Textiles & Apparel,
DANGEE-EQ,Food & Tobacco,
DATAMATICS-EQ,Software & IT Services,
DBCORP-EQ,Media & Publishing,
DBL-EQ,Construction & Engineering,
DBSTOCKBRO-EQ,Investment Banking & Investment Services,
DCAL-EQ,Pharmaceuticals,
DCBBANK-EQ,Banking Services,
DCMFINSERV-EQ,Banking Services,
DCW-EQ,Chemicals,
DECCANCE-EQ,Construction Materials,
DEEPENR-EQ,NO DATA,
DELTACORP-EQ,Hotels & Entertainment Services,
DEN-EQ,Media & Publishing,
DENORA-EQ,"Machinery, Equipment & Components",
DFMFOODS-EQ,NO DATA,
DGCONTENT-EQ,Media & Publishing,
DHAMPURSUG-EQ,Food & Tobacco,
DHANBANK-EQ,Banking Services,
DHANI-EQ,Banking Services,
DHANUKA-EQ,Chemicals,
DHFL-EQ,NO DATA,
DHUNINV-EQ,Chemicals,
DIAMONDYD-EQ,Food & Tobacco,
DICIND-EQ,Chemicals,
DISHTV-EQ,Media & Publishing,
DLINKINDIA-EQ,Communications & Networking,
DOLAT-EQ,NO DATA,
DOLLAR-EQ,Textiles & Apparel,
DONEAR-EQ,Textiles & Apparel,
DPABHUSHAN-EQ,Specialty Retailers,
DPSCLTD-EQ,Electrical Utilities & IPPs,
DPWIRES-EQ,Metals & Mining,
DREDGECORP-EQ,Transport Infrastructure,
DSSL-EQ,Software & IT Services,
DTIL-EQ,Food & Tobacco,
DVL-EQ,Chemicals,
DWARKESH-EQ,Food & Tobacco,
DYNAMATECH-EQ,Automobiles & Auto Parts,
DYNPRO-EQ,Chemicals,
EASTSILK-EQ,Textiles & Apparel,
EBIXFOREX-EQ,NO DATA,
EDELWEISS-EQ,Investment Banking & Investment Services,
EIHAHOTELS-EQ,Hotels & Entertainment Services,
EIMCOELECO-EQ,Metals & Mining,
EKC-EQ,"Machinery, Equipment & Components",
ELECTCAST-EQ,Metals & Mining,
ELECTHERM-EQ,Metals & Mining,
ELGIRUBCO-EQ,Automobiles & Auto Parts,
EMAMIPAP-EQ,Paper & Forest Products,
EMAMIREAL-EQ,Real Estate Operations,
EMKAY-EQ,Investment Banking & Investment Services,
EMMBI-EQ,Containers & Packaging,
ENERGYDEV-EQ,Electrical Utilities & IPPs,
ENIL-EQ,Media & Publishing,
EPL-EQ,Containers & Packaging,
EQUITAS-EQ,Banking Services,
EQUITASBNK-EQ,Banking Services,
EROSMEDIA-EQ,Media & Publishing,
ESABINDIA-EQ,"Machinery, Equipment & Components",
ESSARSHPNG-EQ,Freight & Logistics Services,
ESTER-EQ,Chemicals,
EUROTEXIND-EQ,Textiles & Apparel,
EVEREADY-EQ,"Machinery, Equipment & Components",
EVERESTIND-EQ,Homebuilding & Construction Supplies,
EXCELINDUS-EQ,Chemicals,
EXPLEOSOL-EQ,Software & IT Services,
FAIRCHEMOR-EQ,Chemicals,
FCL-EQ,Chemicals,
FCONSUMER-EQ,Food & Drug Retailing,
FDC-EQ,Pharmaceuticals,
FEL-EQ,Diversified Retail,
FELDVR-EQ,Diversified Retail,
FIEMIND-EQ,Automobiles & Auto Parts,
FILATEX-EQ,Textiles & Apparel,
FINEORG-EQ,Chemicals,
FLFL-EQ,Specialty Retailers,
FMGOETZE-EQ,Automobiles & Auto Parts,
FMNL-EQ,Real Estate Operations,
FORCEMOT-EQ,Automobiles & Auto Parts,
FOSECOIND-EQ,Chemicals,
FRETAIL-EQ,Food & Drug Retailing,
FSC-EQ,Diversified Retail,
GABRIEL-EQ,Automobiles & Auto Parts,
GAEL-EQ,Food & Tobacco,
GAL-EQ,Metals & Mining,
GALAXYSURF-EQ,Chemicals,
GALLANTT-EQ,Metals & Mining,
GALLISPAT-EQ,NO DATA,
GAMMNINFRA-EQ,NO DATA,
GANDHITUBE-EQ,Metals & Mining,
GANECOS-EQ,Textiles & Apparel,
GANESHHOUC-EQ,NO DATA,
GANGESSECU-EQ,Investment Banking & Investment Services,
GARDENSILK-EQ,NO DATA,
GARFIBRES-EQ,Textiles & Apparel,
GATI-EQ,NO DATA,
GAYAPROJ-EQ,Construction & Engineering,
GDL-EQ,Freight & Logistics Services,
GEECEE-EQ,Real Estate Operations,
GENUSPOWER-EQ,"Machinery, Equipment & Components",
GEOJITFSL-EQ,Investment Banking & Investment Services,
GEPIL-EQ,NO DATA,
GET&D-EQ,NO DATA,
GFLLIMITED-EQ,Hotels & Entertainment Services,
GFSTEELS-EQ,Metals & Mining,
GHCL-EQ,Chemicals,
GICHSGFIN-EQ,Banking Services,
GILLANDERS-EQ,Textiles & Apparel,
GINNIFILA-EQ,Textiles & Apparel,
GIPCL-EQ,Electrical Utilities & IPPs,
GLFL-EQ,Holding Companies,
GLOBAL-EQ,Professional & Business Education,
GLOBE-EQ,Textiles & Apparel,
GLOBOFFS-EQ,NO DATA,
GLOBUSSPR-EQ,Beverages,
